application-positionExternalId,application-candidateExternalId,application-Stage
"59520","59531","SHORTLISTED"
"59520","59570","SENT"
"59520","59581","SENT"
"59520","59584","SENT"
"59520","59941","SHORTLISTED"
"59520","60653","SHORTLISTED"
"59520","61223","SENT"
"59544","41903","SENT"
"59544","59604","SHORTLISTED"
"59657","40324","FIRST_INTERVIEW"
"59657","56453","FIRST_INTERVIEW"
"59657","60978","SENT"
"59657","62963","FIRST_INTERVIEW"
"59901","60983","SENT"
"59901","62178","SENT"
"59901","63022","FIRST_INTERVIEW"
"59901","73376","FIRST_INTERVIEW"
"59901","75998","FIRST_INTERVIEW"
"59901","81857","SHORTLISTED"
"59901","86224","FIRST_INTERVIEW"
"59901","86329","FIRST_INTERVIEW"
"59901","86549","FIRST_INTERVIEW"
"60104","60198","SHORTLISTED"
"60104","62138","SHORTLISTED"
"60104","62606","SHORTLISTED"
"60152","41320","SENT"
"60292","40351","SENT"
"60292","43587","FIRST_INTERVIEW"
"60292","43908","SENT"
"60292","46595","FIRST_INTERVIEW"
"60292","56433","FIRST_INTERVIEW"
"60292","56453","FIRST_INTERVIEW"
"60292","61225","FIRST_INTERVIEW"
"60292","61965","SENT"
"60292","62178","FIRST_INTERVIEW"
"60292","63009","FIRST_INTERVIEW"
"60387","46595","SENT"
"60387","47366","FIRST_INTERVIEW"
"60418","60401","SENT"
"60418","60538","SENT"
"61897","62782","SENT"
"61897","62802","SENT"
"61897","62804","SENT"
"62519","62518","SHORTLISTED"
"62519","62521","SHORTLISTED"
"62519","63059","SHORTLISTED"
"62519","63521","SHORTLISTED"
"62519","65502","SENT"
"62519","66026","FIRST_INTERVIEW"
"62519","68762","SHORTLISTED"
"62680","40733","SHORTLISTED"
"62680","62836","SHORTLISTED"
"62680","63000","SHORTLISTED"
"62680","63833","SHORTLISTED"
"62680","64101","SHORTLISTED"
"62680","71165","SHORTLISTED"
"62680","71299","SHORTLISTED"
"62680","71313","SHORTLISTED"
"62680","71390","SHORTLISTED"
"62680","71555","SHORTLISTED"
"62680","72089","SHORTLISTED"
"62680","75443","SHORTLISTED"
"62849","62850","SHORTLISTED"
"62849","66112","SENT"
"62855","62785","SENT"
"62855","62786","SENT"
"62855","62801","OFFERED"
"62855","62803","SENT"
"62855","62819","SENT"
"62983","43445","FIRST_INTERVIEW"
"62983","43587","FIRST_INTERVIEW"
"62983","43628","FIRST_INTERVIEW"
"62983","47969","FIRST_INTERVIEW"
"62983","57405","SHORTLISTED"
"63212","51994","SHORTLISTED"
"63538","64180","OFFERED"
"63558","44516","SHORTLISTED"
"63558","56653","OFFERED"
"63558","63736","SHORTLISTED"
"63567","41654","OFFERED"
"63643","43587","SENT"
"63789","68730","SENT"
"64085","62304","SENT"
"64085","64024","SENT"
"64087","64024","SHORTLISTED"
"64087","65411","SHORTLISTED"
"64125","64260","SHORTLISTED"
"64125","65679","SHORTLISTED"
"64125","66367","SHORTLISTED"
"64125","66766","SHORTLISTED"
"64125","67490","SHORTLISTED"
"64125","68211","SHORTLISTED"
"64125","69044","SHORTLISTED"
"64125","69052","SHORTLISTED"
"64125","69197","SHORTLISTED"
"64125","69479","SHORTLISTED"
"64125","70277","SHORTLISTED"
"64125","70343","SHORTLISTED"
"64125","72536","FIRST_INTERVIEW"
"64125","72681","SHORTLISTED"
"64125","72700","SHORTLISTED"
"64125","76757","SENT"
"64126","64277","SHORTLISTED"
"64126","65713","SHORTLISTED"
"64126","65785","OFFERED"
"64126","66026","SHORTLISTED"
"64126","66202","SHORTLISTED"
"64126","67490","SENT"
"64126","67857","SENT"
"64222","64228","SHORTLISTED"
"64222","64853","SHORTLISTED"
"64222","65998","SHORTLISTED"
"64222","66613","SHORTLISTED"
"64222","68062","SHORTLISTED"
"64222","75243","SENT"
"64288","64290","FIRST_INTERVIEW"
"64331","43908","SHORTLISTED"
"64331","57338","SHORTLISTED"
"64331","71028","SHORTLISTED"
"64331","72677","OFFERED"
"64331","73777","FIRST_INTERVIEW"
"64528","42215","SENT"
"64763","65311","SHORTLISTED"
"64763","65681","SHORTLISTED"
"64772","44361","FIRST_INTERVIEW"
"64772","51138","FIRST_INTERVIEW"
"64772","66420","FIRST_INTERVIEW"
