application-positionExternalId,application-candidateExternalId,application-Stage,actioned_date
"57872","48000","SENT","2008-07-28"
"57872","58046","SENT","2008-07-29"
"57894","67419","SHORTLISTED","2008-10-13"
"57894","69040","SHORTLISTED","2008-10-16"
"57894","70416","SHORTLISTED","2008-11-04"
"57894","70418","SHORTLISTED","2008-11-04"
"57894","70496","SHORTLISTED","2008-11-06"
"58019","43587","SENT","2008-07-29"
"58019","48081","SENT","2008-08-06"
"58420","43587","SENT","2008-08-07"
"58420","56433","SENT","2008-08-07"
"58420","56453","SENT","2008-08-21"
"58420","57802","FIRST_INTERVIEW","2008-08-05"
"58420","61965","SENT","2008-08-21"
"58946","56653","FIRST_INTERVIEW","2008-09-15"
"59450","43897","SHORTLISTED","2008-08-20"
"59450","51769","SHORTLISTED","2008-08-27"
"59450","59370","SHORTLISTED","2008-08-05"
"59450","59451","FIRST_INTERVIEW","2008-08-28"
"59450","59453","SENT","2008-08-05"
"59450","59497","SHORTLISTED","2008-08-20"
"59450","59572","SHORTLISTED","2008-08-06"
"59450","61367","FIRST_INTERVIEW","2008-08-28"
"59450","61640","SHORTLISTED","2008-08-20"
"59450","62613","SENT","2008-08-28"
"59520","59505","SHORTLISTED","2008-08-14"
"59520","59506","SHORTLISTED","2008-08-14"
"59520","59509","SHORTLISTED","2008-08-05"
"59520","59528","SHORTLISTED","2008-08-05"
"59520","59531","SHORTLISTED","2008-08-06"
"59520","59570","SENT","2008-08-06"
"59520","59581","SENT","2008-08-06"
"59520","59584","SENT","2008-08-06"
"59520","59941","SHORTLISTED","2008-08-11"
"59520","60653","SHORTLISTED","2008-08-14"
"59520","61223","SENT","2008-08-19"
"59544","41903","SENT","2008-08-08"
"59544","59604","SHORTLISTED","2008-08-06"
"59657","40324","FIRST_INTERVIEW","2008-08-29"
"59657","56453","FIRST_INTERVIEW","2008-08-11"
"59657","60978","SENT","2008-08-18"
"59657","62963","FIRST_INTERVIEW","2008-09-02"
"59901","60983","SENT","2008-08-18"
"59901","62178","SENT","2008-08-22"
"59901","63022","FIRST_INTERVIEW","2008-09-01"
"59901","73376","FIRST_INTERVIEW","2009-01-22"
"59901","75998","FIRST_INTERVIEW","2009-02-18"
"59901","81857","SHORTLISTED","2009-03-17"
"59901","86224","FIRST_INTERVIEW","2009-04-27"
"59901","86329","FIRST_INTERVIEW","2009-04-29"
"59901","86549","FIRST_INTERVIEW","2009-04-29"
"60104","60198","SHORTLISTED","2008-08-28"
"60104","62138","SHORTLISTED","2008-08-22"
"60104","62606","SHORTLISTED","2008-08-28"
"60152","41320","SENT","2008-08-15"
"60292","40351","SENT","2008-08-14"
"60292","43587","FIRST_INTERVIEW","2008-08-14"
"60292","43908","SENT","2008-08-18"
"60292","46595","FIRST_INTERVIEW","2008-08-14"
"60292","56433","FIRST_INTERVIEW","2008-08-20"
"60292","56453","FIRST_INTERVIEW","2008-08-13"
"60292","61225","FIRST_INTERVIEW","2008-08-20"
"60292","61965","SENT","2008-08-21"
"60292","62178","FIRST_INTERVIEW","2008-09-01"
"60292","63009","FIRST_INTERVIEW","2008-09-10"
"60387","46595","SENT","2008-08-13"
"60387","47366","FIRST_INTERVIEW","2008-08-13"
"60418","60401","SENT","2008-08-14"
"60418","60538","SENT","2008-08-14"
"61897","62782","SENT","2008-09-02"
"61897","62802","SENT","2008-09-01"
"61897","62804","SENT","2008-09-02"
"62519","62518","SHORTLISTED","2008-08-27"
"62519","62521","SHORTLISTED","2008-08-27"
"62519","63059","SHORTLISTED","2008-09-02"
"62519","63521","SHORTLISTED","2008-09-02"
"62519","65502","SENT","2008-10-09"
